,scene_id,text,character,cAGR,cCON,cEXT,cOPN,cNEU
0,01_e01_c01,"<b>s01_e01_c01(1) for Joey Tribbiani</b><br><br><b>Ross Geller</b>: No!! Okay?! Why does everyone keep fixating on that? She didn't know, how should I know?<br><br><b>Chandler Bing</b>: Sometimes I wish I was a lesbian... (They all stare at him.) Did I say that out loud?<br><br><b>Ross Geller</b>: I told mom and dad last night, they seemed to take it pretty well.<br><br><b>Monica Geller</b>: Oh really, so that hysterical phone call I got from a woman at sobbing 3:00 A.M., ""I'll never have grandchildren, I'll never have grandchildren."" was what? A wrong number?<br><br><b>Ross Geller</b>: Sorry.<br><br><b>Joey Tribbiani</b>: Alright Ross, look. You're feeling a lot of pain right now. You're angry. You're hurting. Can I tell you what the answer is?<br><br>(Ross gestures his consent.)<br><br><b>Joey Tribbiani</b>: Strip joint! C'mon, you're single! Have some hormones!<br><br><b>Ross Geller</b>: I don't want to be single, okay? I just... I just- I just wanna be married again!<br><br>(Rachel enters in a wet wedding dress and starts to search the room.)<br><br>",Joey Tribbiani,1,1,0,0,1
1,01_e01_c02,"<b>s01_e01_c02(0) for Chandler Bing</b><br><br><b>Monica Geller</b>: Now I'm guessing that he bought her the big pipe organ, and she's really not happy about it.<br><br><b>Chandler Bing</b>: (imitating the characters) Tuna or egg salad? Decide!<br><br><b>Ross Geller</b>: (in a deep voice) I'll have whatever Christine is having.<br><br><b>Rachel Green</b>: (on phone) Daddy, I just... I can't marry him! I'm sorry. I just don't love him. Well, it matters to me!<br><br>(The scene on TV has changed to show two women, one is holding her hair.)<br><br><b>Phoebe Buffay</b>: If I let go of my hair, my head will fall off.<br><br><b>Chandler Bing</b>: (re TV) Ooh, she should not be wearing those pants.<br><br><b>Joey Tribbiani</b>: I say push her down the stairs.<br><br>",Chandler Bing,1,0,1,1,1
2,01_e01_c04,"<b>s01_e01_c04(0) for Chandler Bing</b><br><br><b>Ross Geller</b>: (squatting and reading the instructions) I'm supposed to attach a brackety thing to the side things, using a bunch of these little worm guys. I have no brackety thing, I see no whim guys whatsoever and- I cannot feel my legs.<br><br>(Joey and Chandler are finishing assembling the bookcase.)<br><br><b>Joey Tribbiani</b>: I'm thinking we've got a bookcase here.<br><br><b>Chandler Bing</b>: It's a beautiful thing.<br><br><b>Joey Tribbiani</b>: (picking up a leftover part) What's this?<br><br><b>Chandler Bing</b>: I would have to say that is an 'L'-shaped bracket.<br><br><b>Joey Tribbiani</b>: Which goes where?<br><br><b>Chandler Bing</b>: I have no idea.<br><br>(Joey checks that Ross is not looking and dumps it in a plant.)<br><br><b>Joey Tribbiani</b>: Done with the bookcase!<br><br><b>Chandler Bing</b>: All finished!<br><br><b>Ross Geller</b>: (clutching a beer can and sniffing) This was Carol's favorite beer. She always drank it out of the can, I should have known.<br><br><b>Joey Tribbiani</b>: Hey-hey-hey-hey, if you're gonna start with that stuff we're outta here.<br><br><b>Chandler Bing</b>: Yes, please don't spoil all this fun.<br><br><b>Joey Tribbiani</b>: Ross, let me ask you a question. She got the furniture, the stereo, the good TV- what did you get?<br><br>",Chandler Bing,0,0,0,0,1
3,01_e01_c05,"<b>s01_e01_c05(0) for Paul</b><br><br><b>Monica Geller</b>: Oh my God!<br><br><b>Paul</b>: I know, I know, I'm such an idiot. I guess I should have caught on when she started going to the dentist four and five times a week. I mean, how clean can teeth get?<br><br><b>Monica Geller</b>: My brother's going through that right now, he's such a mess. How did you get through it?<br><br><b>Paul</b>: Well, you might try accidentally breaking something valuable of hers, say her-<br><br><b>Monica Geller</b>: -leg?<br><br>",Paul,1,0,1,1,0
4,01_e01_c08,"<b>s01_e01_c08(0) for Monica Geller</b><br><br><b>Paul</b>: Ever since she walked out on me, I, uh...<br><br><b>Monica Geller</b>: What?..... What, you wanna spell it out with noodles?<br><br><b>Paul</b>: No, it's, it's more of a fifth date kinda revelation.<br><br><b>Monica Geller</b>: Oh, so there is gonna be a fifth date?<br><br><b>Paul</b>: Isn't there?<br><br><b>Monica Geller</b>: Yeah... yeah, I think there is. -What were you gonna say?<br><br><b>Paul</b>: Well, ever-ev-... ever since she left me, um, I haven't been able to, uh, perform. (Monica takes a sip of her drink.) ...Sexually.<br><br><b>Monica Geller</b>: (spitting out her drink in shock) Oh God, oh God, I am sorry... I am so sorry...<br><br><b>Paul</b>: It's okay...<br><br><b>Monica Geller</b>: I know being spit on is probably not what you need right now. Um... how long?<br><br>",Monica Geller,1,0,1,1,1
5,01_e01_c11,"<b>s01_e01_c11(0) for Chandler Bing</b><br><br><b>Rachel Green</b>: Isn't this amazing? I mean, I have never made coffee before in my entire life.<br><br><b>Chandler Bing</b>: That is amazing.<br><br><b>Joey Tribbiani</b>: Congratulations.<br><br><b>Rachel Green</b>: Y'know, I figure if I can make coffee, there isn't anything I can't do.<br><br><b>Chandler Bing</b>: If can invade Poland, there isn't anything I can't do.<br><br><b>Joey Tribbiani</b>: Listen, while you're on a roll, if you feel like you gotta make like a Western omelet or something... (Joey and Chandler taste the coffee, grimace, and pour it into a plant pot.) Although actually I'm really not that hungry...<br><br>",Chandler Bing,0,0,0,0,0
6,01_e01_c11,"<b>s01_e01_c11(0) for Rachel Green</b><br><br><b>Paul</b>: Yeah. (They kiss) Thank you. (Exits)<br><br><b>Joey Tribbiani</b>: That wasn't a real date?! What the hell do you do on a real date?<br><br><b>Monica Geller</b>: Shut up, and put my table back.<br><br><b>All</b>: Okayyy! (They do so.)<br><br><b>Chandler Bing</b>: All right, kids, I gotta get to work. If I don't input those numbers,... it doesn't make much of a difference...<br><br><b>Rachel Green</b>: So, like, you guys all have jobs?<br><br><b>Monica Geller</b>: Yeah, we all have jobs. See, that's how we buy stuff.<br><br><b>Joey Tribbiani</b>: Yeah, I'm an actor.<br><br><b>Rachel Green</b>: Wow! Would I have seen you in anything?<br><br><b>Joey Tribbiani</b>: I doubt it. Mostly regional work.<br><br>",Rachel Green,0,0,0,0,1
7,01_e01_c11,"<b>s01_e01_c11(1) for Monica Geller</b><br><br><b>Joey Tribbiani</b>: Look, it was a job all right?<br><br><b>Chandler Bing</b>: 'Look, Gippetto, I'm a real live boy.'<br><br><b>Joey Tribbiani</b>: I will not take this abuse. (Walks to the door and opens it to leave.)<br><br><b>Chandler Bing</b>: You're right, I'm sorry. (Burst into song and dances out of the door.) ""Once I was a wooden boy, a little wooden boy...""<br><br><b>Joey Tribbiani</b>: You should both know, that he's a dead man. Oh, Chandler? (Starts after Chandler.)<br><br><b>Monica Geller</b>: So how you doing today? Did you sleep okay? Talk to Barry? I can't stop smiling.<br><br><b>Rachel Green</b>: I can see that. You look like you slept with a hanger in your mouth.<br><br><b>Monica Geller</b>: I know, he's just so, so... Do you remember you and Tony DeMarco?<br><br><b>Rachel Green</b>: Oh, yeah.<br><br><b>Monica Geller</b>: Well, it's like that. With feelings.<br><br><b>Rachel Green</b>: Oh wow. Are you in trouble.<br><br><b>Monica Geller</b>: Big time!<br><br><b>Rachel Green</b>: Want a wedding dress?                Hardly used.<br><br>",Monica Geller,1,0,0,1,1
8,01_e01_c15,"<b>s01_e01_c15(0) for Monica Geller</b><br><br><b>Joey Tribbiani</b>: I can't believe what I'm hearing here.<br><br><b>Phoebe Buffay</b>: (sings) I can't believe what I'm hearing here...<br><br><b>Monica Geller</b>: What? I-I said you had a-<br><br><b>Phoebe Buffay</b>: (sings) What I said you had...<br><br><b>Monica Geller</b>: (to Phoebe) Would you stop?<br><br><b>Phoebe Buffay</b>: Oh, was I doing it again?<br><br><b>All</b>: Yes!<br><br><b>Monica Geller</b>: I said that you had a nice butt, it's just not a great butt.<br><br>",Monica Geller,1,1,0,0,0
9,01_e01_c15,"<b>s01_e01_c15(0) for Phoebe Buffay</b><br><br><b>Joey Tribbiani</b>: I can't believe what I'm hearing here.<br><br><b>Phoebe Buffay</b>: (sings) I can't believe what I'm hearing here...<br><br><b>Monica Geller</b>: What? I-I said you had a-<br><br><b>Phoebe Buffay</b>: (sings) What I said you had...<br><br><b>Monica Geller</b>: (to Phoebe) Would you stop?<br><br><b>Phoebe Buffay</b>: Oh, was I doing it again?<br><br>",Phoebe Buffay,0,1,0,0,1
